booking_id,arrival_date,lead_time,is_flexible,actual_temp,actual_precip,forecast_14d_temp,forecast_14d_precip,forecast_3d_temp,forecast_3d_precip,weather_penalty_14d,weather_penalty_3d,weather_shock,cancellation_prob,is_canceled
18,2024-02-16,34,True,10.5,0.0,13.0,3.9,11.9,0.0,12.3,5.05,0.0,0.05448941413423795,0
19,2023-06-28,27,True,20.8,0.4,25.6,10.4,22.6,0.0,20.8,0.0,0.0,0.05448941413423795,0
20,2020-12-16,30,False,3.2,1.1,4.2,1.2,3.7,0.7,11.3,10.55,0.0,0.05,0
21,2021-10-09,29,True,12.3,0.0,16.7,15.6,12.2,0.0,33.85,4.9,0.0,0.05448941413423795,0
22,2025-07-01,19,False,24.2,0.0,18.6,0.0,25.2,0.5,1.7,1.0,0.0,0.05,0
23,2024-03-21,66,True,8.2,4.9,5.2,6.6,10.9,5.2,21.6,15.95,0.0,0.05448941413423795,0
24,2025-11-09,41,True,5.2,0.2,8.0,3.0,3.0,0.0,13.0,9.5,0.0,0.05448941413423795,0
25,2024-08-11,55,True,21.8,0.5,24.8,0.0,20.0,2.4,0.0,5.8,5.8,0.5431297516979627,0
26,2025-08-22,22,True,19.9,0.2,22.6,6.6,21.2,0.6,13.2,1.6,0.0,0.05448941413423795,0
27,2021-06-11,32,True,22.5,0.3,27.1,0.0,22.6,0.5,0.0,1.0,1.0,0.06462834646727623,0
28,2024-08-17,29,True,30.2,1.8,36.2,6.0,31.1,0.0,12.0,0.0,0.0,0.05448941413423795,0
29,2020-03-14,48,True,3.0,1.0,-1.7,2.0,5.3,3.4,15.85,15.15,0.0,0.05448941413423795,0
30,2024-01-17,49,False,-3.3,0.2,1.0,0.0,-2.7,0.9,10.5,14.15,3.65,0.05,0
31,2022-09-24,28,True,13.8,0.7,11.6,8.1,14.8,4.4,21.4,12.4,0.0,0.05448941413423795,0
32,2022-02-20,17,True,4.2,3.3,7.6,2.1,2.2,7.3,11.4,24.5,13.1,0.5999900491749768,1
33,2025-04-16,74,True,19.4,2.7,27.5,0.0,18.7,3.3,0.0,8.25,8.25,0.5966671091796287,1
34,2025-03-17,34,True,2.8,0.1,-0.8,11.2,4.6,2.6,33.8,13.9,0.0,0.05448941413423795,1
35,2020-03-22,21,True,2.2,0.1,-1.8,7.8,2.7,0.2,27.5,10.05,0.0,0.05448941413423795,0
36,2023-08-23,32,False,23.9,0.0,25.3,0.4,26.2,0.0,0.8,0.0,0.0,0.05,1
37,2022-05-08,17,True,17.0,0.0,19.6,0.0,16.2,0.0,1.2,2.9,1.7,0.08273840128707585,0
38,2022-07-22,45,False,31.9,0.1,31.1,0.0,28.6,1.6,0.0,3.2,3.2,0.05,0
39,2024-12-27,17,True,4.9,0.1,3.5,3.5,4.6,0.0,16.25,8.7,0.0,0.05448941413423795,0
40,2021-10-09,24,True,12.3,0.0,16.7,15.6,12.2,0.0,33.85,4.9,0.0,0.05448941413423795,0
41,2025-08-23,29,False,15.4,2.4,12.3,0.0,15.2,0.2,4.85,3.8,0.0,0.05,0
42,2021-02-18,45,True,-7.1,0.0,-14.3,2.9,-6.6,0.0,23.95,14.3,0.0,0.05448941413423795,0
43,2023-12-18,27,False,6.6,3.3,6.2,0.0,7.5,4.2,7.9,15.65,7.75,0.05,0
44,2024-01-21,36,True,-0.1,0.0,-2.2,0.0,-0.7,1.6,12.1,14.55,2.45,0.12408667857361548,0
45,2021-07-24,26,True,24.1,0.0,25.2,2.9,24.1,1.8,5.8,3.6,0.0,0.05448941413423795,0
46,2021-12-03,26,True,1.2,0.7,1.1,0.3,0.1,1.7,11.05,14.35,3.3,0.21584413119860363,0
47,2025-01-05,27,False,-0.6,0.0,-6.3,0.0,-0.3,1.6,14.15,14.35,0.2,0.05,0
48,2024-08-05,24,True,21.1,4.1,19.8,4.7,22.6,1.3,10.5,2.6,0.0,0.05448941413423795,0
49,2021-12-18,17,True,3.7,0.4,5.5,0.0,3.9,2.9,8.25,14.85,6.6,0.5767406254868815,1
50,2023-05-07,20,False,13.4,0.0,9.0,0.7,14.4,0.0,7.9,3.8,0.0,0.05,0
51,2020-06-26,29,True,26.5,0.3,32.5,2.1,28.7,2.8,4.2,5.6,1.4,0.07325937451311859,0
52,2021-06-02,24,True,19.1,0.0,15.5,3.4,19.2,0.0,10.05,1.4,0.0,0.05448941413423795,0
53,2022-11-12,25,False,11.6,0.3,9.2,0.0,12.6,0.7,6.4,6.1,0.0,0.05,0
54,2020-07-25,23,True,21.5,0.3,19.4,0.6,22.3,0.7,2.5,1.4,0.0,0.05448941413423795,0
55,2025-02-06,20,True,6.4,1.3,8.6,3.9,3.8,1.7,14.5,12.5,0.0,0.05448941413423795,0
56,2024-06-13,22,False,19.4,0.0,16.5,6.2,21.0,0.0,15.15,0.5,0.0,0.05,0
57,2025-08-23,23,True,15.4,2.4,12.3,0.0,15.2,0.2,4.85,3.8,0.0,0.05448941413423795,0
58,2024-04-09,26,True,24.8,0.0,26.5,0.0,24.8,2.5,0.0,5.0,5.0,0.4726886309244597,1
59,2025-08-19,31,True,23.7,0.0,23.3,5.7,25.0,0.0,11.4,0.0,0.0,0.05448941413423795,0
60,2023-06-17,24,False,20.4,19.1,25.9,17.3,19.0,23.2,34.6,47.9,13.3,0.05,0
61,2023-08-12,19,True,24.4,0.0,22.3,0.0,24.1,0.0,0.0,0.0,0.0,0.05448941413423795,0
62,2025-10-08,17,True,14.5,0.6,11.3,4.8,15.5,0.0,14.95,3.25,0.0,0.05448941413423795,0
63,2023-10-04,140,True,15.7,3.4,17.7,8.3,13.6,5.3,18.75,14.8,0.0,0.05448941413423795,0
64,2020-04-22,18,True,15.4,0.0,12.6,0.0,15.5,4.0,4.7,11.25,6.55,0.5753667633226173,1
65,2024-06-20,22,True,22.1,0.3,29.7,0.0,21.1,0.0,0.0,0.45,0.45,0.05765910216857522,1
66,2025-07-08,33,True,23.5,8.5,18.5,0.3,23.2,2.8,2.35,5.6,3.25,0.20897777355624786,0
67,2024-09-15,31,True,22.2,2.8,23.4,7.9,21.5,3.2,15.8,6.65,0.0,0.05448941413423795,0
68,2023-07-23,33,True,21.4,0.1,21.6,0.0,21.9,0.0,0.2,0.05,0.0,0.05448941413423795,0
69,2024-01-19,22,True,-2.1,0.0,-8.4,2.3,-2.8,1.7,19.8,15.8,0.0,0.05448941413423795,0
70,2025-11-25,29,True,1.3,0.0,-2.3,0.0,0.4,0.0,12.15,10.8,0.0,0.05448941413423795,0
71,2020-07-31,27,True,17.0,2.0,16.0,0.0,18.4,5.3,3.0,12.4,9.4,0.5991576960611482,1
72,2024-01-04,23,True,-3.0,3.2,-6.2,2.2,-3.9,3.2,18.5,19.35,0.85,0.06227239128446774,0
73,2021-09-01,29,True,18.4,1.5,20.4,4.9,20.6,6.9,10.6,14.5,3.9,0.3085197715294855,0
74,2023-09-30,45,True,18.8,0.6,23.7,2.7,18.1,1.1,5.4,4.15,0.0,0.05448941413423795,0
75,2023-08-20,26,True,29.8,0.2,26.2,0.0,29.6,0.0,0.0,0.0,0.0,0.05448941413423795,0
76,2020-11-14,26,True,7.4,0.1,9.7,0.0,7.9,1.1,6.15,9.25,3.1,0.18942830916428582,0
77,2021-05-28,46,False,16.0,3.1,12.1,7.4,14.6,5.2,19.75,14.1,0.0,0.05,0
78,2023-09-07,43,True,23.2,0.0,23.0,5.9,21.0,0.0,11.8,0.5,0.0,0.05448941413423795,0
79,2020-09-14,65,True,21.8,0.0,22.3,0.5,20.7,0.0,1.0,0.65,0.0,0.05448941413423795,0
80,2021-08-09,17,False,22.5,1.5,27.9,4.2,21.8,1.4,8.4,2.9,0.0,0.05,0
81,2025-01-07,42,True,3.0,2.1,-1.2,1.9,3.4,1.5,15.4,12.3,0.0,0.05448941413423795,0
82,2021-12-11,35,False,-0.1,0.0,-0.5,5.4,0.2,0.0,22.05,10.9,0.0,0.05,0
83,2022-11-20,19,False,-1.2,1.3,-0.0,6.7,-2.0,2.2,24.4,16.4,0.0,0.05,0
84,2025-08-21,29,True,19.1,0.0,22.3,0.0,19.4,0.4,0.0,2.1,2.1,0.10103612421443636,0
85,2021-06-25,45,False,23.5,0.4,21.7,0.0,21.8,0.0,0.15,0.1,0.0,0.05,0
86,2022-06-19,20,True,30.7,0.0,36.4,0.0,31.3,0.0,0.0,0.0,0.0,0.05448941413423795,0
87,2023-08-19,32,True,29.3,1.6,29.6,3.5,27.9,4.2,7.0,8.4,1.4,0.07325937451311859,0
88,2024-07-28,41,True,23.4,5.2,24.6,5.3,23.0,5.2,10.6,10.4,0.0,0.05448941413423795,0
89,2025-07-04,19,True,22.3,0.0,25.1,0.0,21.2,0.0,0.0,0.4,0.4,0.05721892508540655,0
90,2025-07-20,25,True,23.5,3.0,23.2,5.1,25.4,0.0,10.2,0.0,0.0,0.05448941413423795,0
91,2024-08-23,30,True,24.5,0.0,29.9,0.0,23.0,0.3,0.0,0.6,0.6,0.05914449585933489,0
92,2021-06-26,20,False,22.1,0.8,20.5,0.0,22.9,4.8,0.75,9.6,8.85,0.05,0
93,2020-03-31,20,True,3.6,1.2,6.6,0.0,3.7,3.6,7.7,16.35,8.65,0.5979328872828247,1
94,2022-06-12,25,True,22.8,0.0,18.4,3.1,24.6,0.6,8.0,1.2,0.0,0.05448941413423795,0
95,2020-10-02,39,True,15.9,1.6,13.1,0.0,16.6,1.7,4.45,6.1,1.65,0.08093911346524206,0
96,2024-06-03,36,True,23.5,0.5,19.4,0.0,28.3,0.0,1.3,0.0,0.0,0.05448941413423795,0
97,2023-12-13,20,True,1.1,0.0,0.7,10.6,1.4,0.8,31.85,11.9,0.0,0.05448941413423795,0
98,2020-06-04,36,False,16.9,1.0,19.6,0.0,15.8,0.0,1.2,3.1,1.9,0.05,1
99,2025-01-12,20,True,0.3,1.4,-0.0,0.0,0.3,3.1,11.0,17.05,6.05,0.5567093145562056,0
100,2021-07-20,17,True,22.5,0.5,23.3,0.7,19.4,0.0,1.4,1.3,0.0,0.05448941413423795,0
101,2022-08-11,23,True,24.8,0.0,22.0,0.0,27.0,0.9,0.0,1.8,1.8,0.08663441956629986,0
102,2024-01-06,47,True,-3.2,0.0,-2.3,0.0,-0.7,0.3,12.15,11.95,0.0,0.05448941413423795,0
103,2022-08-07,36,True,20.1,0.0,24.3,0.0,20.5,0.0,0.0,0.75,0.75,0.06091216815374263,0
104,2022-08-21,26,True,25.7,0.0,18.0,0.0,26.8,0.0,2.0,0.0,0.0,0.05448941413423795,0
105,2020-06-30,22,True,20.5,6.5,18.5,9.0,19.2,7.5,19.75,16.4,0.0,0.05448941413423795,0
106,2022-07-03,23,True,23.8,0.2,26.2,0.0,23.7,0.0,0.0,0.0,0.0,0.05448941413423795,0
107,2024-08-09,27,False,24.4,1.9,21.5,0.3,23.0,0.4,0.85,0.8,0.0,0.05,0
108,2025-07-20,19,False,23.5,3.0,23.2,5.1,25.4,0.0,10.2,0.0,0.0,0.05,0
109,2022-07-18,23,True,19.3,4.9,20.0,0.0,19.2,3.7,1.0,8.8,7.8,0.5943054443578997,1
110,2022-07-31,24,False,17.8,16.1,16.0,4.2,18.8,16.2,11.4,34.0,22.6,0.05,0
111,2024-05-12,18,False,15.4,0.0,17.6,0.0,16.8,0.0,2.2,2.6,0.4,0.05,0
112,2025-08-23,20,True,15.4,2.4,12.3,0.0,15.2,0.2,4.85,3.8,0.0,0.05448941413423795,0
113,2021-08-12,32,True,20.7,1.0,13.4,0.4,19.4,0.0,5.1,1.3,0.0,0.05448941413423795,0
114,2022-08-20,26,True,28.6,3.8,27.6,0.1,28.9,1.7,0.2,3.4,3.2,0.20228300718158565,0
115,2024-09-15,23,True,22.2,2.8,23.4,7.9,21.5,3.2,15.8,6.65,0.0,0.05448941413423795,0
116,2023-08-24,19,True,23.6,0.9,22.1,0.0,25.4,4.2,0.0,8.4,8.4,0.5972133538665937,1
117,2020-08-23,64,True,22.7,0.6,22.3,0.0,23.7,0.5,0.0,1.0,1.0,0.06462834646727623,0
118,2023-09-15,20,True,18.8,0.0,23.7,0.0,19.9,0.6,0.0,2.25,2.25,0.11000325165758712,0
119,2021-03-15,29,True,5.4,0.7,5.4,2.7,5.3,1.6,13.7,11.55,0.0,0.05448941413423795,0
120,2023-02-10,22,True,2.5,0.6,-0.1,0.0,4.3,0.0,11.05,8.85,0.0,0.05448941413423795,0
121,2023-04-19,27,True,14.6,5.0,18.8,3.1,14.7,6.0,7.8,15.65,7.85,0.5946338339064969,0
122,2025-06-02,32,True,21.5,2.2,23.9,3.1,22.1,1.9,6.2,3.8,0.0,0.05448941413423795,0
123,2022-09-16,18,True,14.9,0.3,14.7,0.0,14.9,1.3,3.65,6.15,2.5,0.1280180856952683,1
124,2021-08-27,26,True,16.9,2.9,17.6,4.5,17.5,4.0,11.2,10.25,0.0,0.05448941413423795,0
125,2021-06-29,50,False,27.0,0.0,26.5,0.0,25.8,0.7,0.0,1.4,1.4,0.05,0
126,2025-05-30,73,True,20.5,0.0,23.6,2.6,22.2,2.0,5.2,4.0,0.0,0.05448941413423795,0
127,2021-01-17,25,True,-15.2,0.0,-19.3,13.3,-18.4,5.2,47.25,30.6,0.0,0.05448941413423795,0
128,2022-08-03,27,True,26.1,0.0,20.0,0.0,24.5,0.0,1.0,0.0,0.0,0.05448941413423795,1
129,2021-03-17,103,True,3.8,0.0,4.6,0.0,3.8,0.6,8.7,10.3,1.6,0.07923312501893505,0
130,2024-08-19,48,True,25.0,1.1,20.5,0.0,26.3,1.0,0.75,2.0,1.25,0.0695641540999499,1
131,2022-10-01,21,True,14.4,1.2,9.7,7.1,15.4,2.6,20.35,8.5,0.0,0.05448941413423795,0
132,2022-03-09,21,True,4.2,0.1,3.5,2.5,4.2,3.1,14.25,15.1,0.85,0.06227239128446774,0
133,2022-04-14,43,True,17.0,0.0,15.2,5.3,16.9,0.4,14.0,3.35,0.0,0.05448941413423795,0
134,2025-03-09,19,True,14.7,0.0,10.5,0.0,14.6,1.7,5.75,7.1,1.35,0.0719589336740476,0
135,2023-06-16,46,True,23.6,0.4,21.5,0.0,24.4,0.0,0.25,0.0,0.0,0.05448941413423795,0
136,2024-06-13,30,False,19.4,0.0,16.5,6.2,21.0,0.0,15.15,0.5,0.0,0.05,0
137,2025-06-28,33,True,20.8,0.2,23.4,0.0,21.1,0.0,0.0,0.45,0.45,0.05765910216857522,0
138,2025-07-04,24,True,22.3,0.0,25.1,0.0,21.2,0.0,0.0,0.4,0.4,0.05721892508540655,0
139,2021-12-16,21,False,6.1,0.2,6.3,0.0,7.8,0.0,7.85,7.1,0.0,0.05,0
140,2025-09-03,59,False,20.0,2.3,15.9,3.5,20.1,2.2,10.05,5.35,0.0,0.05,0
141,2020-03-31,24,True,3.6,1.2,6.6,0.0,3.7,3.6,7.7,16.35,8.65,0.5979328872828247,1
142,2022-06-04,22,True,22.6,0.0,25.1,0.0,25.4,1.1,0.0,2.2,2.2,0.10687024830203729,0
143,2025-06-27,25,True,22.1,4.7,25.0,5.6,19.3,6.9,11.2,15.15,3.95,0.31675247410932444,0
144,2021-08-21,28,True,18.0,1.0,19.0,7.9,17.3,2.2,17.3,6.75,0.0,0.05448941413423795,0
145,2021-08-20,19,True,20.3,5.9,23.4,8.9,18.8,6.3,17.8,14.2,0.0,0.05448941413423795,0
146,2021-09-24,21,False,14.6,1.1,7.2,0.0,14.4,1.0,7.4,5.8,0.0,0.05,0
147,2023-08-26,21,True,28.8,0.8,27.9,4.7,31.0,0.0,9.4,0.0,0.0,0.05448941413423795,0
148,2022-08-18,40,False,29.4,0.2,28.2,0.0,30.4,0.0,0.0,0.0,0.0,0.05,1
149,2024-06-23,19,True,18.1,1.6,21.5,4.8,17.5,2.6,9.85,7.45,0.0,0.05448941413423795,0
150,2025-06-25,17,False,20.1,9.4,20.0,0.0,18.9,4.6,1.0,10.75,9.75,0.05,0
151,2024-01-29,16,True,3.8,0.0,0.6,0.5,5.7,0.0,11.7,8.15,0.0,0.05448941413423795,0
152,2021-05-19,17,True,14.4,0.9,15.2,2.6,13.4,3.1,8.6,10.5,1.9,0.09095736984131544,0
153,2025-08-10,55,False,22.1,1.4,16.9,6.5,21.6,0.0,15.55,0.2,0.0,0.05,0
154,2021-08-08,26,True,22.1,6.5,27.2,6.2,22.5,6.0,12.4,12.0,0.0,0.05448941413423795,0
155,2020-11-01,33,True,8.2,0.0,6.5,0.0,8.4,0.0,7.75,6.8,0.0,0.05448941413423795,0
156,2020-07-30,34,True,19.4,0.0,20.0,0.0,21.1,0.0,1.0,0.45,0.0,0.05448941413423795,0
157,2023-06-28,27,True,20.8,0.4,25.6,10.4,22.6,0.0,20.8,0.0,0.0,0.05448941413423795,0
158,2020-08-28,25,True,18.7,0.0,19.9,0.0,17.5,0.0,1.05,2.25,1.2,0.0684630728048154,0
159,2020-09-27,45,True,20.2,1.6,22.7,2.1,22.4,2.6,4.2,5.2,1.0,0.06462834646727623,0
160,2021-09-21,28,False,11.9,0.0,11.1,0.8,13.5,1.7,7.05,7.65,0.6,0.05,0
161,2021-08-29,57,True,17.2,6.5,9.9,10.1,16.0,5.8,26.25,14.6,0.0,0.05448941413423795,0
162,2023-08-17,35,True,29.6,0.0,26.9,0.0,29.7,0.0,0.0,0.0,0.0,0.05448941413423795,0
163,2024-11-01,21,True,14.2,1.7,20.8,14.6,17.5,3.9,29.8,10.05,0.0,0.05448941413423795,1
164,2024-08-04,22,False,24.7,2.5,27.2,0.0,27.0,4.5,0.0,9.0,9.0,0.05,0
165,2021-08-06,20,True,16.5,26.2,20.4,24.2,19.9,25.6,49.2,52.25,3.05,0.18327619854796234,0
166,2021-07-16,50,True,28.5,7.5,25.9,4.9,29.8,7.4,9.8,14.8,5.0,0.4726886309244597,1
167,2025-09-20,22,True,24.7,0.0,16.4,4.3,26.9,0.0,11.4,0.0,0.0,0.05448941413423795,0
168,2020-01-31,20,True,6.2,9.2,6.9,5.2,5.3,10.7,17.95,29.75,11.8,0.59995264902263,1
169,2025-06-07,30,True,23.5,3.9,20.6,1.9,24.9,3.9,4.5,7.8,3.3,0.21584413119860363,0
170,2021-05-02,25,True,8.9,30.3,13.7,30.9,7.3,29.8,65.95,66.95,1.0,0.06462834646727623,0
171,2025-08-28,30,True,26.8,0.0,25.8,5.7,23.1,0.0,11.4,0.0,0.0,0.05448941413423795,0
172,2022-02-04,81,True,2.9,2.9,4.0,5.0,1.8,2.4,19.0,14.9,0.0,0.05448941413423795,0
173,2022-08-20,42,False,28.6,3.8,27.6,0.1,28.9,1.7,0.2,3.4,3.2,0.05,1
174,2024-05-29,26,True,25.6,2.5,28.6,5.3,25.2,0.1,10.6,0.2,0.0,0.05448941413423795,0
175,2023-07-28,17,True,19.4,3.1,15.0,0.0,20.2,4.7,3.5,10.3,6.8,0.5815369271951847,0
176,2021-11-07,22,True,8.2,4.9,7.1,10.2,6.5,6.0,27.85,19.75,0.0,0.05448941413423795,0
177,2023-06-16,37,True,23.6,0.4,21.5,0.0,24.4,0.0,0.25,0.0,0.0,0.05448941413423795,0
178,2024-06-28,18,True,31.5,2.4,30.4,9.8,31.5,4.5,19.6,9.0,0.0,0.05448941413423795,0
179,2020-06-01,98,True,16.8,0.9,17.6,0.0,15.8,0.0,2.2,3.1,0.9,0.06301331798550368,0
180,2020-02-10,26,True,7.6,5.2,4.4,10.6,8.7,1.3,30.0,9.25,0.0,0.05448941413423795,0
181,2022-09-11,27,True,11.2,13.0,9.5,5.3,11.2,10.1,16.85,25.6,8.75,0.5981658559809228,1
182,2020-09-19,21,True,17.3,0.0,12.4,0.0,12.4,1.4,4.8,7.6,2.8,0.15534994170880712,0
183,2023-12-24,33,True,1.8,3.0,6.9,3.4,5.7,0.8,14.35,9.75,0.0,0.05448941413423795,0
184,2021-06-08,18,True,23.8,0.2,24.7,0.0,22.7,1.5,0.0,3.0,3.0,0.17731136907554035,0
185,2022-08-12,99,True,27.6,0.0,26.4,6.3,27.5,0.0,12.6,0.0,0.0,0.05448941413423795,0
186,2021-04-24,54,False,8.1,1.2,3.4,0.0,9.8,2.4,9.3,10.9,1.6,0.05,0
187,2023-06-10,44,True,22.5,0.0,25.3,3.2,25.0,0.0,6.4,0.0,0.0,0.05448941413423795,0
188,2020-08-30,17,True,18.5,25.8,16.2,25.8,19.3,26.3,54.5,53.95,0.0,0.05448941413423795,0
189,2020-03-25,29,False,6.8,0.0,7.2,4.2,5.6,1.4,15.8,11.0,0.0,0.05,1
190,2020-06-13,50,False,22.8,0.1,24.2,0.0,24.2,0.0,0.0,0.0,0.0,0.05,0
191,2025-09-06,35,True,22.0,12.2,22.4,15.0,21.5,8.2,30.0,16.65,0.0,0.05448941413423795,0
192,2020-10-04,19,True,21.9,4.5,20.9,0.0,21.0,4.1,0.55,8.7,8.15,0.596245077167824,1
193,2024-06-01,21,False,24.0,1.0,19.7,5.7,23.9,2.0,12.55,4.0,0.0,0.05,0
194,2020-07-03,22,False,22.3,1.5,27.4,5.6,22.0,0.8,11.2,1.6,0.0,0.05,0
195,2020-08-21,21,False,26.6,0.0,16.7,0.0,25.6,1.0,2.65,2.0,0.0,0.05,0
196,2023-02-04,62,True,-1.5,0.0,2.7,7.9,-1.0,0.0,25.45,11.5,0.0,0.05448941413423795,0
197,2022-09-19,16,True,13.4,2.5,22.4,8.4,13.0,0.9,16.8,6.3,0.0,0.05448941413423795,0
198,2025-09-02,36,True,26.9,1.9,23.4,0.8,28.8,1.3,1.6,2.6,1.0,0.06462834646727623,1
199,2025-08-24,18,False,15.8,6.0,13.1,8.5,16.4,6.5,21.45,15.8,0.0,0.05,0
200,2024-08-26,19,False,21.8,0.6,22.3,2.5,22.1,1.8,5.0,3.6,0.0,0.05,1
201,2023-08-14,16,False,27.6,0.0,20.3,0.0,28.4,0.0,0.85,0.0,0.0,0.05,0
202,2022-09-07,21,True,18.8,0.0,18.1,6.6,20.0,0.0,15.15,1.0,0.0,0.05448941413423795,0
203,2022-03-27,61,True,6.7,0.0,5.5,0.0,7.1,2.2,8.25,11.85,3.6,0.2602386688769131,0
204,2025-08-28,29,True,26.8,0.0,25.8,5.7,23.1,0.0,11.4,0.0,0.0,0.05448941413423795,0
205,2023-08-15,18,False,33.3,0.0,36.7,0.0,33.2,0.9,0.0,1.8,1.8,0.05,0
206,2023-07-17,44,True,28.7,1.5,33.4,5.1,30.0,0.5,10.2,1.0,0.0,0.05448941413423795,0
207,2021-06-30,51,False,27.8,2.3,31.6,0.0,28.7,5.4,0.0,10.8,10.8,0.05,0
208,2020-06-07,27,True,23.0,3.7,16.6,6.8,21.2,5.8,16.3,12.0,0.0,0.05448941413423795,0
209,2025-08-25,90,True,15.7,4.0,14.1,0.9,15.5,6.1,5.75,15.45,9.7,0.599412072273657,1
210,2021-10-23,40,False,8.4,0.9,12.1,2.3,7.6,1.3,9.55,9.8,0.25,0.05,0
211,2022-08-23,37,True,30.0,0.2,30.1,0.0,32.2,0.4,0.0,0.8,0.8,0.06157274086125756,0
212,2020-08-29,20,True,20.6,6.4,25.0,0.0,20.4,6.1,0.0,13.0,13.0,0.5999887805019961,1
213,2025-01-13,35,False,0.9,0.1,7.5,1.6,0.6,0.0,10.45,10.7,0.25,0.05,0
214,2020-04-11,29,True,11.3,0.0,5.7,0.0,10.7,0.0,8.15,5.65,0.0,0.05448941413423795,0
215,2025-01-03,33,False,1.1,1.0,-3.5,0.0,1.1,0.0,12.75,10.45,0.0,0.05,0
216,2020-09-29,21,True,16.4,0.0,15.3,12.6,18.1,1.7,28.55,5.35,0.0,0.05448941413423795,0
217,2025-06-15,28,False,24.4,0.0,25.7,2.2,26.2,0.0,4.4,0.0,0.0,0.05,0
218,2024-06-28,20,True,31.5,2.4,30.4,9.8,31.5,4.5,19.6,9.0,0.0,0.05448941413423795,0
219,2020-12-25,16,True,2.9,0.2,4.4,2.6,1.7,0.0,14.0,10.15,0.0,0.05448941413423795,0
220,2023-07-01,44,True,22.0,0.6,18.8,3.3,22.6,0.2,8.2,0.4,0.0,0.05448941413423795,0
221,2021-10-19,17,True,10.2,0.0,4.3,3.6,10.2,0.0,16.05,5.9,0.0,0.05448941413423795,0
222,2021-02-12,27,True,-9.7,0.1,-10.1,0.0,-9.5,0.0,16.05,15.75,0.0,0.05448941413423795,0
223,2025-04-05,30,False,6.0,4.2,9.4,10.2,7.1,1.1,26.7,9.65,0.0,0.05,0
224,2022-07-07,30,False,20.6,0.2,23.6,0.0,19.9,0.0,0.0,1.05,1.05,0.05,0
225,2022-07-01,23,False,30.4,1.7,30.7,3.0,30.8,0.2,6.0,0.4,0.0,0.05,0
226,2021-01-13,30,True,-0.3,3.9,2.1,0.0,3.0,4.0,9.95,17.5,7.55,0.5923408978314249,0
227,2022-06-11,33,True,21.2,0.0,16.1,0.0,22.8,0.0,2.95,0.0,0.0,0.05448941413423795,0
228,2025-05-20,38,True,19.5,0.0,29.2,0.0,19.2,0.0,0.0,1.4,1.4,0.07325937451311859,0
229,2022-04-22,72,False,11.9,0.0,10.4,0.0,10.2,0.1,5.8,6.1,0.3,0.05,1
230,2025-09-02,29,True,26.9,1.9,23.4,0.8,28.8,1.3,1.6,2.6,1.0,0.06462834646727623,0
231,2025-08-27,27,True,20.0,0.0,21.2,0.0,19.1,2.8,0.4,7.05,6.65,0.5780410663259525,0
232,2020-10-13,19,True,8.6,9.8,10.9,19.5,8.4,7.1,44.55,21.0,0.0,0.05448941413423795,0
233,2021-02-09,32,True,-8.1,2.2,-8.7,8.7,-7.2,2.6,32.75,19.8,0.0,0.05448941413423795,0
